"volunteernumber" "activity" "feature" "mean"
1 "LAYING" "Body Accelerometer" -0.648570851953117
1 "LAYING" "Body Accelerometer Jerk" -0.702190873819183
1 "LAYING" "Body Accelerometer Jerk Magnitude" -0.93443655735
1 "LAYING" "Body Accelerometer Magnitude" -0.824285651215
1 "LAYING" "Body Gyroscope" -0.677260262601
1 "LAYING" "Body Gyroscope Jerk" -0.511190713530333
1 "LAYING" "Body Gyroscope Jerk Magnitude" -0.94358240675
1 "LAYING" "Body Gyroscope Magnitude" -0.84506983571
1 "LAYING" "Gravity Accelerometer" -0.2924051034
1 "LAYING" "Gravity Accelerometer Magnitude" -0.81853700818
1 "SITTING" "Body Accelerometer" -0.699593033476294
1 "SITTING" "Body Accelerometer Jerk" -0.732899460591064
1 "SITTING" "Body Accelerometer Jerk Magnitude" -0.984588130957447
1 "SITTING" "Body Accelerometer Magnitude" -0.937960732287234
1 "SITTING" "Body Gyroscope" -0.728911386173936
1 "SITTING" "Body Gyroscope Jerk" -0.524963214528369
1 "SITTING" "Body Gyroscope Jerk Magnitude" -0.98928305856383
1 "SITTING" "Body Gyroscope Magnitude" -0.939014573670213
1 "SITTING" "Gravity Accelerometer" -0.247508317673759
1 "SITTING" "Gravity Accelerometer Magnitude" -0.937807602446808
1 "STANDING" "Body Accelerometer" -0.725035349961478
1 "STANDING" "Body Accelerometer Jerk" -0.73650673237861
1 "STANDING" "Body Accelerometer Jerk Magnitude" -0.992635620235849
1 "STANDING" "Body Accelerometer Magnitude" -0.983472825518868
1 "STANDING" "Body Gyroscope" -0.739770897458003
1 "STANDING" "Body Gyroscope Jerk" -0.528802339813208
1 "STANDING" "Body Gyroscope Jerk Magnitude" -0.994796632358491
1 "STANDING" "Body Gyroscope Magnitude" -0.979566879245283
1 "STANDING" "Gravity Accelerometer" -0.377975709361321
1 "STANDING" "Gravity Accelerometer Magnitude" -0.983110568113208
1 "WALKING" "Body Accelerometer" -0.105660929132044
1 "WALKING" "Body Accelerometer Jerk" -0.140624954697746
1 "WALKING" "Body Accelerometer Jerk Magnitude" -0.0941280905326316
1 "WALKING" "Body Accelerometer Magnitude" -0.220828964915
1 "WALKING" "Body Gyroscope" -0.215301746360544
1 "WALKING" "Body Gyroscope Jerk" -0.182019526806667
1 "WALKING" "Body Gyroscope Jerk Magnitude" -0.331234765886842
1 "WALKING" "Body Gyroscope Magnitude" -0.217057109986053
1 "WALKING" "Gravity Accelerometer" -0.385112918982456
1 "WALKING" "Gravity Accelerometer Magnitude" -0.178329911094211
1 "WALKING_DOWNSTAIRS" "Body Accelerometer" -0.052748947469165
1 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk" -0.121173468481582
1 "WALKING_DOWNSTAIRS" "Body Accelerometer Jerk Magnitude" -0.048267241575
1 "WALKING_DOWNSTAIRS" "Body Accelerometer Magnitude" -0.0107182811830612
1 "WALKING_DOWNSTAIRS" "Body Gyroscope" -0.175026215694388
1 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk" -0.189934873014728
1 "WALKING_DOWNSTAIRS" "Body Gyroscope Jerk Magnitude" -0.318964431166837
1 "WALKING_DOWNSTAIRS" "Body Gyroscope Magnitude" -0.22138407457398
1 "WALKING_DOWNSTAIRS" "Gravity Accelerometer" -0.363395674051361
1 "WALKING_DOWNSTAIRS" "Gravity Accelerometer Magnitude" 0.0235363210185714
1 "WALKING_UPSTAIRS" "Body Accelerometer" -0.125054276780833
1 "WALKING_UPSTAIRS" "Body Accelerometer Jerk" -0.383744485928616
1 "WALKING_UPSTAIRS" "Body Accelerometer Jerk Magnitude" -0.480301771132075
1 "WALKING_UPSTAIRS" "Body Accelerometer Magnitude" -0.305888651551887
1 "WALKING_UPSTAIRS" "Body Gyroscope" -0.279745049980031
1 "WALKING_UPSTAIRS" "Body Gyroscope Jerk" -0.337984846034811
1 "WALKING_UPSTAIRS" "Body Gyroscope Jerk Magnitude" -0.643007878254717
1 "WALKING_UPSTAIRS" "Body Gyroscope Magnitude" -0.196075470920755
1 "WALKING_UPSTAIRS" "Gravity Accelerometer" -0.394300146342767
1 "WALKING_UPSTAIRS" "Gravity Accelerometer Magnitude" -0.227449279990566
2 "LAYING" "Body Accelerometer" -0.72188098324375
2 "LAYING" "Body Accelerometer Jerk" -0.731733280569809
2 "LAYING" "Body Accelerometer Jerk Magnitude" -0.9858005940625
2 "LAYING" "Body Accelerometer Magnitude" -0.975135245625
2 "LAYING" "Body Gyroscope" -0.731886514793403
2 "LAYING" "Body Gyroscope Jerk" -0.529808443705556
2 "LAYING" "Body Gyroscope Jerk Magnitude" -0.990306633020833
2 "LAYING" "Body Gyroscope Magnitude" -0.96109674375
2 "LAYING" "Gravity Accelerometer" -0.340306573993056
2 "LAYING" "Gravity Accelerometer Magnitude" -0.9751546990625
2 "SITTING" "Body Accelerometer" -0.712731840406703
2 "SITTING" "Body Accelerometer Jerk" -0.73091269574125
2 "SITTING" "Body Accelerometer Jerk Magnitude" -0.984812366467391
2 "SITTING" "Body Accelerometer Magnitude" -0.959456104619565
2 "SITTING" "Body Gyroscope" -0.736738445388406
